EX,Tarifna oznaka,Naziv,Dopunska jedinica,Carinska stopa (%),EU,CEFTA,IRN,TUR,"CHE, LIE",ISL,NOR
,0101,"Živi konji, magarci, mazge i mule",,,,,,,,,
,,"Živi konji, magarci, mazge i mule >>> konji",,,,,,,,,
,0101 21 00 00,"Živi konji, magarci, mazge i mule >>> konji >>> čistokrvne priplodne životinje",kd,0,0,0,0,0,0,0,0
,0101 29,"Živi konji, magarci, mazge i mule >>> konji >>> ostali",,,,,,,,,
,0101 29 10 00,"Živi konji, magarci, mazge i mule >>> konji >>> ostali >>> za klanje",kd,0,0,0,0,0,0,0,0
,0101 29 90 00,"Živi konji, magarci, mazge i mule >>> konji >>> ostali >>> ostali",kd,0,0,0,0,0,0,0,0
,0101 30 00 00,"Živi konji, magarci, mazge i mule >>> magarci",kd,0,0,0,0,0,0,0,0
,0101 90 00 00,"Živi konji, magarci, mazge i mule >>> ostali",kd,0,0,0,0,0,0,0,0
,0102,Žive životinje vrste goveda,,,,,,,,,
,,Žive životinje vrste goveda >>> goveda,,,,,,,,,
,0102 21,Žive životinje vrste goveda >>> goveda >>> čistokrvne priplodne životinje,,,,,,,,,
,0102 21 10 00,Žive životinje vrste goveda >>> goveda >>> čistokrvne priplodne životinje >>> junice,kd,5,5 (¹),0,5,0,5 (¹),5,5
,0102 21 30 00,Žive životinje vrste goveda >>> goveda >>> čistokrvne priplodne životinje >>> krave,kd,10,0,0,10,0,5,10,10
,0102 21 90 00,Žive životinje vrste goveda >>> goveda >>> čistokrvne priplodne životinje >>> ostale,kd,10,0,0,10,0,5,10,10
,0102 29,Žive životinje vrste goveda >>> goveda >>> ostale,,,,,,,,,
,0102 29 05 00,Žive životinje vrste goveda >>> goveda >>> ostale >>> od podroda Bibos ili od podroda Poephagus,kd,"10+0,5KM/kg",0,0,"10+0,5KM/kg",0,"10+0,5KM/kg","10+0,5KM/kg","10+0,5KM/kg"
,,Žive životinje vrste goveda >>> goveda >>> ostale >>> ostalo,,,,,,,,,
,0102 29 10 00,Žive životinje vrste goveda >>> goveda >>> ostale >>> ostalo >>> mase ne veće od 80 kg,kd,5,0,0,5,0,0,5,5
,,Žive životinje vrste goveda >>> goveda >>> ostale >>> ostalo >>> mase veće od 80 kg ali ne veće od 160 kg,,,,,,,,,
